,facility_name,facility_gps_lat,facility_gps_lon,region_province,district,chiefdom,facility_location,facility_type_other,managing_authority_other,outpatient_only,capacity.number_consultation_rooms,capacity.number_inpatient_beds,capacity.number_maternity_beds,cho_number_in_post,cho_number_present_at_visit,cht_number_in_post,cht_number_present_at_visit,cha_number_in_post,cha_number_present_at_visit,cm_number_in_post,cm_number_present_at_visit,sechn_number_in_post,sechn_number_present_at_visit,lab_tech_number_in_post,lab_tech_number_present_at_visit,mch_aides_number_in_post,mch_aides_number_present_at_visit,cleaner_porter_number_in_post,cleaner_porter_number_present_at_visit,other_number_in_post,other_number_present_at_visit,other_staff_cadre,sections_to_review,consultations.head_count.month_1,consultations.head_count.month_2,consultations.head_count.month_3,consultations.head_count.month_4,consultations.general_outpatient.month_1,consultations.general_outpatient.month_2,consultations.general_outpatient.month_3,consultations.general_outpatient.month_4,consultations.deliveries.month_1,consultations.deliveries.month_2,consultations.deliveries.month_3,consultations.deliveries.month_4,consultations.pent_vaccines.month_1,consultations.pent_vaccines.month_2,consultations.pent_vaccines.month_3,consultations.pent_vaccines.month_4,hr_focal_point,hr_staff_received_info,hr_healthcare_provider_training,hr_healthcare_provider_revised_training,hr_daily_staff_list,iec_handwashing_procedure,iec_physical_distancing,iec_covering_nose_mouth,iec_early_symptom_recognition,iec_when_facility_vs_home,iec_rational_ppe_use,iec_helpline_number,surv_procedure_for_notification,surv_official_case_definition,surv_hotline_number,surv_timely_data_reported_to_district,ter_screening_area_set_up,ter_symptom_screening_questionnaires,ter_temperature_measurement_at_triage,ter_physical_distancing_in_waiting,ter_separate_waiting_for_symptomatic,chw_trained_precautions,chw_trained_community_service,chw_drugs,chw_gloves,chw_masks,chw_iec_materials,iso_designated_isolation_for_suspected,iso_distance_between_patients_in_waiting,iso_distance_between_patient_beds,iso_transfer_referral_protocol,ipc_ppe_medical_masks,ipc_ppe_disp_surgical_masks,ipc_ppe_eye_protection,ipc_ppe_examination_gloves,ipc_ppe_surgical_gloves,ipc_ppe_long_cuffed_gloves,ipc_ppe_heavy_duty_gloves,ipc_ppe_long_sleeved_gown,ipc_ppe_waterproof_aprons,ipc_ppe_plan_staff_trained_on_ppe,ipc_ppe_plan_ppe_poster_displayed,ipc_ppe_plan_fit_test_kit,ipc_ppe_plan_contingency_for_shortages,ipc_wcd_colour_coded_bins,ipc_wcd_clinical_waste_bags,ipc_wcd_laundry_receptacles_at_patient_rooms,ipc_wcd_incinerator,ipc_wash_clean_running_water,ipc_wash_hand_soap,ipc_wash_liquid_soap,ipc_wash_disp_hand_towels,ipc_wash_alcohol_based_hand_gel,ipc_ds_protocol_facility_disinfection,ipc_ds_protocol_equipment_sterilisation,ipc_ds_environmental_disinfectant,ipc_ds_cleaning_schedule_in_toilets,ipc_ds_protocol_corpse_handling,log_referral_plan,log_cellphone_landline_swradio,log_tracer_drugs,log_albendazole,log_amoxicillin,log_ampicillin,log_chlorhexidine_5,log_chlorhexidine_7,log_gentamicin,log_folic,log_ferrous_and_folic,log_compound_sodium,log_co_trimoxazole_400,log_co_trimoxazole_200,log_metronidazole_250,log_metronidazole_200,log_methyldopa,log_magnesium_sulphate,log_lidocaine,log_ibuprofen,log_surgical_spirit,log_sodium_chloride,log_povidone,log_paracetamol_500,log_paracetamol_250,log_ors,log_gauze,log_cotton_wool,log_cannula_iv_20,log_cannula_iv_24,log_zinc_sulphate,log_water,log_needle_23,log_needle_21,log_glove_giving,log_glove_surgical,log_glove_gyn,log_glove_exam,log_tape,log_syringe,log_oxytocin,log_diazepam,log_misoprostol,log_glucose,consultations.head_count.monthly_average_head_counts,consultations.general_outpatient.monthly_average_general_outpatient,consultations.deliveries.monthly_average_deliveries,consultations.pent_vaccines.monthly_average_pent_vaccines,score_human_resources,score_max_human_resources,score_information_education_communication,score_max_information_education_communication,score_surveillance,score_max_surveillance,score_triage_and_early_recognition,score_max_triage_and_early_recognition,score_chw,score_max_chw,score_isolation,score_max_isolation,score_infection_prevention_and_control_ppe,score_max_infection_prevention_and_control_ppe,score_infection_prevention_and_control_ppe_plan,score_max_infection_prevention_and_control_ppe_plan,score_infection_prevention_and_control_waste_collection_and_disposal,score_max_infection_prevention_and_control_waste_collection_and_disposal,score_infection_prevention_and_control_water_sanitation_and_hygiene,score_max_infection_prevention_and_control_water_sanitation_and_hygiene,score_infection_prevention_and_control_disinfection_and_sterilization,score_max_infection_prevention_and_control_disinfection_and_sterilization,score_infection_prevention_and_control,score_max_infection_prevention_and_control,question1.score_logistics_patient_and_sample_transfer,question1.score_max_logistics_patient_and_sample_transfer,score_total,score_max_total,type_clinic,type_community_health_centre,type_community_health_post,type_mch_post,type_<NA>,manage_government_public,manage_other,manage_private_for_profit,manage_<NA>,setting_peri_urban,setting_rural,setting_slum,setting_urban,setting_<NA>
95,GRANT CHP,78.2568555,10.187755,NOTHERN,BOMBALI,FLORIDA,WEST BRIANBERG,,,True,2,2,4,1,1,0,0,0,0,0,0,3,3,0,0,0,0,1,0,0,0,,consultations hr information_education_communication surveillance triage_early_recognition chw isolation_physical_distancing infection_prevention_and_control logistics,751,699,714,529,313,150,214,160,16,18,17,13,16,17,19,18,2,2,1,0,2,True,False,False,False,False,False,False,1,0,2,2,0,0,0,0,0,1,1,2,2,0,2,2,2,0,0,1,1,0,2,2,2,0,0,2,1,0,0,2,0,2,0,0,1,2,0,0,0,0,2,2,2,0,2,1,,2,2,2,2,,2,2,2,2,2,2,2,0,0,2,2,2,2,2,2,2,2,0,0,0,2,2,2,2,2,2,2,0,2,0,2,2,2,2,0,2,673.25,209.25,16.0,17.5,3.5,5.0,1.0,7.0,2.5,4.0,0.0,5.0,3.5,6.0,2.0,4.0,5.0,9.0,1.5,4.0,1.0,4.0,1.5,5.0,2.0,5.0,11.0,27.0,31.5,44.0,55.0,102.0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
96,JILL CHP,-49.372976,98.546245,NOTHERN,BOMBALI,WASHINGTON,EAST KAITLYNBURGH,,,True,2,3,1,0,0,0,0,0,0,0,0,2,1,0,0,1,1,2,1,1,1,TBA,consultations hr information_education_communication surveillance triage_early_recognition chw isolation_physical_distancing infection_prevention_and_control logistics,414,434,399,481,127,104,73,96,8,7,10,3,13,8,7,7,2,2,2,2,2,True,True,True,True,True,True,True,2,2,2,2,1,0,0,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,0,0,2,2,2,2,2,2,1,1,0,0,2,2,2,0,0,2,0,,2,2,2,0,2,2,2,0,2,2,0,2,0,2,2,0,2,2,2,2,2,0,2,2,2,2,0,2,2,2,,2,2,2,2,2,2,2,2,0,0,432.0,100.0,7.0,8.75,5.0,5.0,7.0,7.0,4.0,4.0,2.5,5.0,5.0,6.0,2.5,4.0,9.0,9.0,2.0,4.0,4.0,4.0,2.0,5.0,3.0,5.0,20.0,27.0,30.0,44.0,76.0,102.0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
97,TIMOTHY MCHP,17.4485175,-114.789648,NORTHERN,KOINADUGU,TENNESSEE,LISAHAVEN,,,True,2,3,2,0,0,0,0,0,0,0,0,1,1,0,0,2,2,1,1,4,4,TBA,consultations hr information_education_communication surveillance triage_early_recognition chw isolation_physical_distancing infection_prevention_and_control logistics,467,408,439,405,258,233,241,255,8,6,5,8,26,39,42,28,0,2,1,0,2,True,False,True,True,True,True,True,0,0,2,2,2,0,0,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,0,2,2,2,0,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,,2,2,0,0,0,2,0,0,2,2,0,0,,2,2,2,2,0,2,2,2,0,2,0,2,2,2,2,2,0,0,2,2,2,2,0,2,2,2,0,0,429.75,246.75,6.75,33.75,2.5,5.0,6.0,7.0,2.0,4.0,3.0,5.0,5.0,6.0,3.0,4.0,8.0,9.0,3.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,23.0,27.0,26.0,44.0,70.5,102.0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
98,SHAWN HOSPITAL/CHC,-1.788974,4.141448,SOUTHERN,BONTHE,CALIFORNIA,EAST TAMMY,,,False,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,,consultations hr information_education_communication surveillance triage_early_recognition chw isolation_physical_distancing infection_prevention_and_control logistics,249,192,245,244,294,231,254,285,5,6,7,9,6,5,6,5,2,1,1,0,0,False,False,False,True,False,True,False,0,0,2,2,0,0,2,2,0,1,1,1,1,1,1,0,2,2,2,0,1,1,1,0,0,0,0,0,1,2,0,2,0,2,0,1,2,2,2,0,0,0,0,0,0,0,2,2,2,2,1,0,0,0,0,0,0,1,1,0,1,1,1,2,0,1,2,1,1,1,0,2,0,1,1,1,2,0,1,1,1,0,0,0,0,0,1,2,0,0,232.5,266.0,6.75,5.5,2.0,5.0,2.0,7.0,2.0,4.0,2.0,5.0,2.5,6.0,3.0,4.0,1.5,9.0,2.5,4.0,1.5,4.0,3.0,5.0,0.0,5.0,8.5,27.0,16.0,44.0,38.0,102.0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
99,STEPHEN HOSPITAL,-79.9394455,-18.250342,NORTHERN,FALABA,TENNESSEE,NEW JAMES,,,True,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,12,0,TBA and CHW,consultations hr triage_early_recognition chw,321,336,446,260,205,240,203,170,6,7,5,4,23,17,16,16,0,,0,0,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,340.75,204.5,5.5,18.0,0.0,5.0,,,,,0.0,5.0,0.0,6.0,,,,,,,,,,,,,,,,,0.0,16.0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
100,DEBORAH CLINIC,-18.4218415,57.393155,NORTHERN,FALABA,TENNESSEE,EAST REBECCA,,,False,3,9,1,1,1,0,0,0,0,1,0,1,0,0,0,1,1,1,0,4,0,TBAs,consultations hr triage_early_recognition chw,523,698,452,272,1080,1193,581,448,40,25,22,15,89,36,53,29,0,0,0,0,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,486.25,825.5,25.5,51.75,0.0,5.0,,,,,0.0,5.0,0.0,6.0,,,,,,,,,,,,,,,,,0.0,16.0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
101,BRADLEY MCHP,74.3797165,-133.232495,NORTHERN,TONKOLILI,MISSOURI,WILEYBOROUGH,,,False,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,2,2,1,0,11,0,Community Health Workers,consultations hr information_education_communication surveillance triage_early_recognition chw isolation_physical_distancing infection_prevention_and_control logistics,181,216,233,197,124,128,133,134,12,10,8,8,15,9,17,11,2,1,1,0,0,True,True,True,False,False,False,False,1,1,2,2,2,0,2,2,2,0,1,2,2,2,1,1,2,2,0,1,1,1,1,1,1,1,1,1,1,1,2,0,0,2,1,2,2,1,0,1,1,1,2,1,2,0,2,2,1,1,0,0,1,1,2,0,0,0,1,0,1,1,1,2,1,0,1,2,2,2,2,2,1,2,2,0,2,0,1,1,2,2,2,2,0,0,2,0,0,0,206.75,129.75,9.5,13.0,2.0,5.0,3.0,7.0,3.0,4.0,4.0,5.0,4.0,6.0,2.5,4.0,4.5,9.0,2.0,4.0,2.5,4.0,2.5,5.0,2.0,5.0,13.5,27.0,23.0,44.0,55.0,102.0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
102,,-1.1295695,-34.179477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,consultations hr information_education_communication surveillance triage_early_recognition chw isolation_physical_distancing infection_prevention_and_control logistics,56,5,53,34,23,3,45,656,12,1,415,12,45,4,45,45,2,1,2,1,0,True,False,True,False,True,True,False,2,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,1,2,0,1,,,,,2,1,2,1,0,1,2,0,1,,2,1,2,1,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.0,181.75,110.0,34.75,3.0,5.0,4.0,7.0,3.0,4.0,,,0.0,,0.0,4.0,0.0,9.0,2.0,4.0,0.0,4.0,3.0,5.0,1.5,5.0,6.5,27.0,,,,,0,0,0,0,1,0,0,0,1,0,0,0,0,1
103,DUSTIN CHP,-14.4952295,-169.898491,PLACE,DISTRICT,CALIFORNIA,EAST JENNIFER,,,True,12,10,100,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,consultations hr information_education_communication surveillance triage_early_recognition chw isolation_physical_distancing infection_prevention_and_control logistics,12,12,12,12,13,13,14,15,1,1,2,3,4,5,6,3,1,1,1,1,1,False,False,True,True,True,False,True,1,1,2,1,,,,,,1,2,2,1,0,0,0,1,2,1,1,1,1,2,1,2,1,0,1,1,1,1,1,1,2,,0,,1,,,,1,,,1,,2,1,,,,2,1,2,1,,,,1,2,1,,0,,2,2,2,1,,1,,1,1,2,2,,1,1,2,2,,1,,2,1,,,,,,12.0,13.75,1.75,4.5,2.5,5.0,4.0,7.0,2.5,4.0,,,2.5,6.0,2.0,4.0,5.0,9.0,2.0,4.0,1.5,4.0,0.5,5.0,0.5,5.0,9.5,27.0,,,,,0,0,1,0,0,0,0,1,0,0,0,0,1,0
104,CHRISTOPHER HOSPITAL/CHC,-4.8507925,-126.898722,NOTHERN,BOMBALI,DELAWARE,PORT CHRISTOPHER,,,True,1,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,consultations hr surveillance,2,2,2,2,5,5,8,5,5,8,8,9,6,9,9,6,1,0,1,1,0,,,,,,,,2,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,5.75,7.5,7.5,1.5,5.0,,,2.5,4.0,,,,,,,,,,,,,,,,,,,,,4.0,9.0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
105,MARILYN HOSPITAL/CHC,87.3245395,25.304517,NOTHERN,BOMBALI,INDIANA,SOUTH CHRISTOPHERTOWN,,,True,3,4,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,0,volunteer,consultations hr information_education_communication surveillance triage_early_recognition chw isolation_physical_distancing infection_prevention_and_control logistics,377,426,393,304,194,200,187,202,9,7,7,7,7,5,6,9,2,0,1,0,2,True,True,True,True,True,False,False,1,1,2,2,0,0,0,2,0,2,2,2,2,0,0,2,2,2,0,0,0,0,2,2,2,2,1,0,0,2,0,0,0,1,0,0,2,0,0,0,0,0,2,0,0,0,0,0,,0,2,2,1,,1,0,1,1,2,0,2,0,2,0,1,0,1,1,1,2,0,2,0,0,1,0,2,2,,0,1,2,2,2,0,1,2,2,0,0,375.0,195.75,7.5,6.75,2.5,5.0,5.0,7.0,3.0,4.0,1.0,5.0,3.0,6.0,3.0,4.0,4.5,9.0,1.0,4.0,0.5,4.0,1.0,5.0,1.0,5.0,8.0,27.0,18.5,44.0,44.0,102.0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
106,SHERRY CHC,21.3154565,-99.143333,NORTH-WESTERN,KAMBIA,SOUTH DAKOTA,SOUTH JILLFORT,,,True,2,5,2,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,,consultations hr information_education_communication surveillance triage_early_recognition chw isolation_physical_distancing infection_prevention_and_control logistics,476,877,627,500,245,309,232,342,15,21,17,11,16,36,26,15,2,1,1,1,2,True,False,False,True,True,True,True,1,0,2,2,0,0,0,0,,1,1,0,2,0,0,0,0,0,0,0,2,2,2,2,2,1,2,0,0,2,1,2,0,2,0,2,2,0,2,0,0,0,0,1,2,0,2,2,1,2,2,2,0,2,2,0,2,2,2,0,2,0,2,2,0,2,2,2,2,2,0,2,0,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,0,0,620.0,282.0,16.0,23.25,3.5,5.0,5.0,7.0,2.5,4.0,0.0,5.0,1.5,6.0,0.0,4.0,6.5,9.0,2.5,4.0,2.0,4.0,2.0,5.0,0.5,5.0,13.5,27.0,31.5,44.0,57.5,102.0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
107,BILLY CLINIC,-76.2858025,149.396979,SOUTHERN,BONTHE,MISSOURI,WEST DAVIDVIEW,,,False,4,8,2,1,0,0,0,2,2,1,1,6,6,0,0,2,2,1,1,0,0,,consultations hr information_education_communication surveillance triage_early_recognition chw isolation_physical_distancing infection_prevention_and_control logistics,491,382,383,330,405,286,258,311,10,8,10,12,24,15,19,18,2,2,1,0,0,True,False,False,False,False,False,False,2,0,2,2,2,0,2,2,2,1,1,1,1,1,1,2,2,2,2,1,1,0,1,1,1,1,1,1,1,0,0,2,2,1,1,2,2,2,2,2,0,0,2,1,0,0,2,2,2,1,1,1,1,0,0,1,0,1,1,0,1,0,1,2,0,1,1,1,1,1,0,1,0,1,0,0,1,0,0,0,2,0,1,0,0,0,2,2,0,0,396.5,315.0,10.0,19.0,2.5,5.0,1.0,7.0,3.0,4.0,4.0,5.0,2.5,6.0,4.0,4.0,4.0,9.0,1.5,4.0,3.0,4.0,4.0,5.0,1.5,5.0,14.0,27.0,15.0,44.0,46.0,102.0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
108,MARGARET CHC,49.108564,143.687127,NOTHERN,BOMBALI,WASHINGTON,NEW JENNIFER,,,True,2,4,2,0,0,0,0,0,0,0,0,2,1,1,1,6,0,0,0,1,0,TBA,consultations hr information_education_communication surveillance triage_early_recognition chw isolation_physical_distancing infection_prevention_and_control logistics,1331,1089,927,904,538,378,306,299,10,9,15,11,11,12,8,9,2,2,0,2,2,True,True,True,True,True,True,True,2,2,2,2,0,0,2,2,2,2,2,2,2,2,1,1,0,0,0,1,1,1,2,2,2,2,2,2,2,2,2,0,2,2,2,0,2,2,2,2,0,0,2,2,1,0,2,1,,1,2,2,1,,2,0,0,2,2,2,2,0,2,1,2,2,1,0,1,2,0,2,2,2,2,2,2,0,2,2,2,2,0,2,1,2,2,2,0,0,1062.75,380.25,11.25,10.0,4.0,5.0,7.0,7.0,4.0,4.0,3.0,5.0,4.5,6.0,0.5,4.0,7.5,9.0,3.0,4.0,3.0,4.0,4.0,5.0,2.0,5.0,19.5,27.0,27.5,44.0,70.0,102.0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
109,MELINDA HOSPITAL/CHC,88.9932435,88.392931,NORTH-WESTERN,KARENE,CONNECTICUT,EDWARDMOUTH,,,False,3,4,1,0,0,0,0,0,0,1,1,1,1,0,0,1,1,2,0,2,0,Security and Vaccinator,consultations hr information_education_communication surveillance triage_early_recognition chw isolation_physical_distancing infection_prevention_and_control logistics,319,224,254,219,137,110,114,88,16,15,12,10,19,18,12,13,0,2,0,0,2,True,True,False,True,True,True,False,0,0,2,2,1,0,0,1,0,2,2,2,2,0,1,1,0,0,2,2,2,0,2,2,2,2,2,2,2,2,0,2,2,2,0,0,2,0,0,0,0,2,2,0,0,0,2,0,1,2,2,2,2,0,2,2,0,2,2,0,2,0,2,2,0,0,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,0,2,0,0,254.0,112.25,13.25,15.5,2.0,5.0,5.0,7.0,2.0,4.0,1.0,5.0,3.5,6.0,1.5,4.0,8.0,9.0,3.0,4.0,2.0,4.0,1.0,5.0,2.0,5.0,16.0,27.0,29.5,44.0,60.5,102.0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
110,STEVEN CLINIC,-63.1285565,29.555003,SOUTHERN,MOYAMBA,FLORIDA,EAST VIRGINIA,,,True,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,,consultations hr information_education_communication surveillance triage_early_recognition chw isolation_physical_distancing infection_prevention_and_control logistics,275,248,258,266,107,105,94,128,7,8,6,8,9,9,9,8,2,2,0,0,2,True,True,True,True,True,True,True,1,0,2,2,2,0,2,2,1,1,1,2,2,2,0,0,2,2,2,2,0,0,2,1,0,2,2,2,2,2,2,2,2,2,1,1,0,0,0,0,1,2,2,2,2,2,2,1,2,2,2,0,1,2,2,,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,2,2,2,2,2,0,2,0,2,2,2,2,2,2,,1,2,2,0,261.75,108.5,7.25,8.75,3.0,5.0,7.0,7.0,2.5,4.0,3.5,5.0,3.5,6.0,3.0,4.0,5.5,9.0,4.0,4.0,3.0,4.0,0.5,5.0,4.0,5.0,17.0,27.0,33.5,44.0,73.0,102.0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
111,DAVID CHP,46.9390235,127.075406,SOUTHERN,MOYAMBA,PENNSYLVANIA,RHONDATOWN,,,True,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,1,0,1T.B.A,consultations hr information_education_communication surveillance triage_early_recognition chw isolation_physical_distancing infection_prevention_and_control logistics,288,303,248,225,135,163,128,114,5,9,8,7,12,9,7,7,1,2,2,2,2,True,True,True,True,True,True,True,2,1,2,2,0,1,2,2,0,2,1,2,2,0,0,0,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,1,0,0,0,2,2,0,2,2,2,1,2,2,2,1,0,2,2,2,0,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,0,2,0,0,,2,2,2,2,2,2,2,0,1,266.0,135.0,7.25,8.75,4.5,5.0,7.0,7.0,3.5,4.0,2.5,5.0,2.5,6.0,3.0,4.0,8.0,9.0,4.0,4.0,4.0,4.0,1.5,5.0,3.0,5.0,20.5,27.0,33.5,44.0,77.0,102.0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
112,MATTHEW CLINIC,1.9013975,92.901809,EASTERN,KENEMA,MARYLAND,LORIMOUTH,,,True,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,Vaccinator,consultations hr information_education_communication surveillance triage_early_recognition chw isolation_physical_distancing infection_prevention_and_control logistics,599,588,675,534,385,435,476,363,10,13,12,13,14,14,13,15,1,1,1,1,2,True,True,True,True,True,True,True,1,2,2,2,1,1,1,1,1,1,1,0,0,0,2,1,0,0,1,2,1,2,2,0,1,0,0,0,1,0,0,0,2,2,0,0,2,0,0,0,0,0,2,1,0,0,2,2,1,2,2,2,0,0,0,0,0,1,2,0,0,0,2,2,2,2,2,2,0,2,0,2,0,0,0,0,2,0,0,0,2,0,1,2,2,2,2,2,0,0,599.0,414.75,12.0,14.0,3.0,5.0,7.0,7.0,3.5,4.0,2.5,5.0,1.5,6.0,1.0,4.0,4.0,9.0,0.5,4.0,2.0,4.0,1.0,5.0,1.5,5.0,9.0,27.0,21.5,44.0,49.0,102.0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
113,LINDSEY MCHP,68.1704315,4.494774,EASTERN,KONO,CALIFORNIA,RODRIGUEZBURY,,,True,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,1,1,viccinator,consultations hr information_education_communication surveillance triage_early_recognition chw isolation_physical_distancing infection_prevention_and_control logistics,356,220,278,341,208,106,131,210,4,5,4,5,10,7,7,7,0,2,2,2,0,True,True,True,True,False,True,True,0,0,2,2,2,1,1,2,0,2,2,0,2,2,1,0,1,1,0,2,2,2,2,2,0,0,0,2,0,0,0,0,2,0,0,0,2,2,2,0,2,2,2,2,1,0,0,2,0,0,0,0,2,0,0,0,0,2,2,0,2,0,2,2,0,2,2,0,0,2,0,2,0,2,2,0,2,0,0,2,2,2,0,2,2,2,0,0,0,0,298.75,163.75,4.5,7.75,3.0,5.0,6.0,7.0,2.0,4.0,3.0,5.0,3.5,6.0,1.0,4.0,6.0,9.0,0.0,4.0,1.0,4.0,4.0,5.0,3.0,5.0,14.0,27.0,20.0,44.0,52.5,102.0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
114,JESSE CHP,9.039079,-151.224313,NORTH-WESTERN,PORT LOKO,OREGON,VALERIEBOROUGH,,,True,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,,consultations hr information_education_communication surveillance triage_early_recognition chw isolation_physical_distancing infection_prevention_and_control logistics,593,622,515,237,167,114,93,56,15,10,8,6,23,17,14,9,0,2,1,0,2,False,False,True,False,False,False,False,2,0,2,2,2,0,0,2,2,1,1,0,1,1,0,2,2,0,2,0,1,0,2,2,2,0,0,1,2,0,0,2,1,1,1,2,2,2,1,0,0,2,0,1,0,0,2,2,,1,1,0,0,0,0,0,0,0,0,0,2,0,2,2,1,2,1,1,1,1,0,2,0,2,1,1,1,2,2,1,2,2,1,2,2,2,1,1,0,0,491.75,107.5,9.75,15.75,2.5,5.0,1.0,7.0,3.0,4.0,3.0,5.0,1.5,6.0,3.0,4.0,4.0,9.0,2.0,4.0,2.5,4.0,2.5,5.0,1.5,5.0,12.5,27.0,20.5,44.0,47.0,102.0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
115,LEE CHC,84.701286,95.408638,NORTH-WESTERN,PORT LOKO,FLORIDA,VALERIEBOROUGH,,,True,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,,consultations hr information_education_communication surveillance triage_early_recognition chw isolation_physical_distancing infection_prevention_and_control logistics,467,564,297,327,208,198,174,143,12,10,10,12,14,15,11,7,0,2,1,0,2,True,False,True,False,False,True,False,2,0,2,2,1,0,0,2,0,0,0,0,1,1,0,0,2,0,2,0,0,0,2,2,1,0,1,1,1,2,0,2,0,2,0,2,1,1,0,0,1,0,0,1,0,0,2,2,,2,1,0,0,0,0,0,0,0,1,0,2,0,2,2,1,1,2,1,2,1,0,2,2,2,0,1,1,2,0,0,1,1,1,2,0,2,2,2,0,0,413.75,180.75,11.0,11.75,2.5,5.0,3.0,7.0,3.0,4.0,1.5,5.0,1.0,6.0,2.0,4.0,3.5,9.0,2.5,4.0,2.0,4.0,1.5,5.0,0.5,5.0,10.0,27.0,20.5,44.0,43.5,102.0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
116,RACHAEL HOSPITAL,87.4471395,-10.037126,NORTH-WESTERN,PORT LOKO,IOWA,VALERIEBOROUGH,,,True,2,0,2,0,0,0,0,0,0,0,0,2,2,0,0,2,2,0,0,0,0,,consultations hr information_education_communication surveillance triage_early_recognition chw isolation_physical_distancing infection_prevention_and_control logistics,244,154,198,216,215,208,371,182,19,17,13,8,22,19,22,18,0,2,0,0,2,True,False,True,False,False,True,True,2,0,2,2,2,1,2,1,0,1,1,0,0,0,0,0,2,0,2,0,1,2,1,0,0,0,0,0,1,2,0,2,1,2,0,0,2,0,0,0,0,2,0,1,0,0,2,2,2,2,1,0,1,0,1,0,0,1,2,0,1,1,2,2,0,1,1,1,1,1,0,2,0,2,0,0,2,2,0,0,1,0,0,1,2,1,2,1,0,0,203.0,244.0,14.25,20.25,2.0,5.0,4.0,7.0,3.0,4.0,3.0,5.0,0.5,6.0,2.0,4.0,2.0,9.0,2.5,4.0,1.5,4.0,1.0,5.0,1.5,5.0,8.5,27.0,20.0,44.0,43.0,102.0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
